TIME;SELECTED TURBINE SPEED;1r;2r;3r;4r;potencia
20/01/2023 18:20;122,010574;15,593499;15,65534;23,909483;23,23448;0
20/01/2023 18:30;122,03163;15,287277;15,796113;24,006542;23,248251;0
20/01/2023 18:40;122,01036;15,188612;16,10111;24,99321;23,650291;0
20/01/2023 18:50;121,99158;15,034326;16,350431;23,987614;23,730227;0
20/01/2023 19:00;122,03887;15,184541;16,136425;24,432512;24,046846;0
20/01/2023 19:10;122,01288;15,227661;16,172392;24,51742;23,655922;0
20/01/2023 19:20;122,05991;15,1815195;16,200932;24,150564;24,497349;0
20/01/2023 19:30;122,05866;15,490377;15,916875;24,046707;23,448553;0
20/01/2023 19:40;122,02517;15,057762;15,702039;24,112158;23,574791;0
20/01/2023 19:50;122,05717;14,579976;15,329596;24,476244;23,926626;0
20/01/2023 20:00;122,03914;14,908893;15,701504;23,972054;24,145903;0
20/01/2023 20:10;122,00723;14,927809;15,65187;24,471012;23,959873;0
20/01/2023 20:20;122,01738;15,111324;15,9053135;24,562967;23,173132;0
20/01/2023 20:30;122,01612;15,398151;15,849575;24,45925;23,694056;0
20/01/2023 20:40;122,01537;14,923701;15,602463;23,93622;23,870216;0
20/01/2023 20:50;122,03814;15,639235;15,50705;24,042109;23,897263;0
20/01/2023 21:00;122,03362;14,7309265;15,795049;24,306011;23,645742;0
20/01/2023 21:10;122,01281;14,758948;16,03385;24,21024;23,976542;0
20/01/2023 21:20;122,02093;15,266273;15,601462;23,948782;23,76374;0
20/01/2023 21:30;122,07279;15,215074;15,718891;24,024847;23,90013;0
20/01/2023 21:40;122,05572;15,377464;15,859458;23,868608;23,539654;0
20/01/2023 21:50;122,01753;15,360497;15,626978;24,022383;23,214785;0
20/01/2023 22:00;122,01806;15,290869;15,690732;24,437214;23,928774;0
20/01/2023 22:10;121,9665;15,137082;15,313789;24,61862;24,119162;0
20/01/2023 22:20;122,04047;15,261367;15,694404;24,072748;23,290663;0
20/01/2023 22:30;122,05443;15,019573;15,652031;24,883537;24,387346;0
20/01/2023 22:40;122,05368;15,377914;15,30251;24,444546;23,560486;0
20/01/2023 22:50;122,06999;15,58377;15,312817;23,879406;23,756197;0
20/01/2023 23:00;122,017;15,277048;16,004519;24,294289;23,295563;0
20/01/2023 23:10;122,03142;15,022414;16,146004;24,724237;23,616825;0
20/01/2023 23:20;122,05392;15,396294;15,619167;24,519756;24,153194;0
20/01/2023 23:30;122,06899;15,051214;15,909163;24,386223;23,624975;0
20/01/2023 23:40;122,02057;15,232602;15,694105;24,233215;24,029104;0
20/01/2023 23:50;122,07675;15,548414;15,642251;24,498875;23,99121;0
21/01/2023 00:00;122,06656;14,922893;15,861225;24,187286;24,285616;0
21/01/2023 00:10;122,099724;15,143891;15,752851;24,450863;23,68588;0
21/01/2023 00:20;122,10801;15,460576;15,751761;23,82246;23,730291;0
21/01/2023 00:30;122,120155;15,488432;15,881465;24,430124;23,61627;0
21/01/2023 00:40;122,10451;14,9383;15,945431;24,218105;23,624207;0
21/01/2023 00:50;122,0108;14,971079;15,926594;24,302519;22,874853;0
21/01/2023 01:00;122,03965;15,822822;15,451;24,94413;23,809065;0
21/01/2023 01:10;122,01486;15,318083;16,104525;24,26754;23,708838;0
21/01/2023 01:20;122,049644;15,1811695;15,483739;24,47518;23,977148;0
21/01/2023 01:30;122,06717;15,533869;15,793509;24,685146;23,410921;0
21/01/2023 01:40;122,08592;15,501118;16,308603;23,834654;23,42621;0
21/01/2023 01:50;122,071884;15,455304;16,34601;23,561207;23,78311;0
21/01/2023 02:00;122,01073;15,105149;15,882632;24,224676;23,311329;0
21/01/2023 02:10;122,036995;15,128305;15,657804;23,94746;24,062574;0
21/01/2023 02:20;122,03463;14,92311;16,037601;24,568333;23,96592;0
21/01/2023 02:30;122,02494;14,806167;16,006859;24,066563;23,174492;0
21/01/2023 02:40;122,03693;15,137;15,646482;24,60517;23,633001;0
21/01/2023 02:50;122,05114;15,202526;15,885093;24,619236;23,847885;0
21/01/2023 03:00;122,05549;14,861088;16,033587;24,35217;23,466162;0
21/01/2023 03:10;121,96528;15,33858;15,587982;24,807688;23,414253;0
21/01/2023 03:20;122,0215;15,217232;16,005972;23,720398;24,219408;0
21/01/2023 03:30;122,00199;14,974984;15,906174;24,240908;23,14398;0
21/01/2023 03:40;122,008;14,724644;16,12576;24,964169;24,075863;0
21/01/2023 03:50;121,976234;15,205439;15,963327;23,594648;23,97049;0
21/01/2023 04:00;121,96754;15,165263;15,872168;24,086239;24,60948;0
21/01/2023 04:10;122,002686;15,364608;15,878855;24,447666;23,688631;0
21/01/2023 04:20;122,02298;15,104963;15,64558;24,673725;23,082607;0
21/01/2023 04:30;121,99691;15,557215;15,60581;24,115692;23,87332;0
21/01/2023 04:40;122,002365;15,144341;15,570105;24,562275;23,726267;0
21/01/2023 04:50;122,057014;15,328637;15,708886;24,334234;24,209026;0
21/01/2023 05:00;122,011536;14,868969;16,004484;24,584469;23,479738;0
21/01/2023 05:10;121,97156;15,458465;15,648703;24,212713;24,2878;0
21/01/2023 05:20;121,96122;15,067103;15,875536;24,854383;24,00295;0
21/01/2023 05:30;121,89191;14,976152;15,535922;24,06718;24,206684;0
21/01/2023 05:40;121,964165;15,636625;16,14981;23,767967;23,613445;0
21/01/2023 05:50;121,9267;15,339887;15,812325;23,596663;23,473043;0
21/01/2023 06:00;121,89796;14,77142;15,724271;25,099;23,923363;0
21/01/2023 06:10;121,965;15,231697;15,784968;24,869156;24,2567;0
21/01/2023 06:20;121,99363;14,810982;15,685814;24,443659;23,494278;0
21/01/2023 06:30;122,0905;14,7417145;15,887233;24,020748;23,892542;0
21/01/2023 06:40;122,128784;14,836631;15,427768;24,312296;23,461248;0
21/01/2023 06:50;122,133865;15,153592;15,766024;24,471941;23,0328;0
21/01/2023 07:00;122,04612;15,170556;15,998594;24,70711;23,631409;0
21/01/2023 07:10;122,02296;15,267559;15,512456;24,176104;23,408287;0
21/01/2023 07:20;122,012856;15,207437;15,836155;24,075073;23,415874;0
21/01/2023 07:30;122,00438;15,271189;15,2749195;24,273375;23,549158;0
21/01/2023 07:40;122,02681;14,98504;15,656405;24,126377;24,064978;0
21/01/2023 07:50;122,055466;15,334275;16,103106;24,426277;23,865417;0
21/01/2023 08:00;122,07905;15,089815;15,573148;24,540257;23,651903;0
21/01/2023 08:10;122,06406;15,062103;15,394337;24,022541;23,417408;0
21/01/2023 08:20;122,0654;14,935979;15,509945;24,667624;23,183657;0
21/01/2023 08:30;122,04719;15,3757305;15,601961;24,341696;23,679693;0
21/01/2023 08:40;122,05912;15,516527;15,970849;24,343575;23,806028;0
21/01/2023 08:50;122,07254;15,002069;15,587532;24,728321;23,87379;0
21/01/2023 09:00;122,05916;15,115613;15,8698845;24,397797;23,909788;0
21/01/2023 09:10;122,137054;15,309784;15,783902;24,348871;23,863213;0
21/01/2023 09:20;122,01753;15,391265;15,5275955;24,321276;23,536844;0
21/01/2023 09:30;121,980515;15,165774;15,493561;23,711565;23,702635;0
21/01/2023 09:40;122,027145;15,287703;15,943064;24,149479;23,964897;0
21/01/2023 09:50;122,124146;14,973118;15,779613;24,810532;23,657925;0
21/01/2023 10:00;122,05373;15,058218;15,72764;24,043322;24,230074;0
21/01/2023 10:10;122,060524;15,228688;15,864804;24,23759;23,86095;0
21/01/2023 10:20;122,02514;14,99623;15,751363;24,941952;23,779371;0
21/01/2023 10:30;122,045166;15,488858;15,39305;24,34406;23,770111;0
21/01/2023 10:40;121,99864;15,340321;15,8927765;24,525362;24,245659;0
21/01/2023 10:50;122,030334;14,882366;15,96283;24,04945;23,33918;0
21/01/2023 11:00;122,10031;15,4329;15,598887;23,94871;23,999084;0
21/01/2023 11:10;122,0779;15,394777;15,583155;24,057264;23,802753;0
21/01/2023 11:20;122,06832;14,5037;15,679567;23,989573;24,399817;0
21/01/2023 11:30;122,048485;15,242028;15,733281;24,54778;23,464916;0
21/01/2023 11:40;122,10996;15,299716;15,440428;24,264082;24,199709;0
